country,count
United States,1397
France,889
Malaysia,813
England,745
Qatar,701
Thailand,700
Germany,672
Sweden,668
United Arab Emirates,587
Spain,583
South Africa,574
Brazil,572
South Korea,538
Austria,532
Italy,521
Switzerland,511
Hungary,488
Argentina,463
Japan,459
Singapore,457
Netherlands,453
Egypt,440
Saudi Arabia,426
Chile,425
Belgium,422
Scotland,416
Mexico,414
Portugal,413
Norway,411
Poland,409
Denmark,402
Trinidad and Tobago,396
Uruguay,392
Kenya,388
Tunisia,387
Kuwait,380
Morocco,380
Indonesia,365
China PR,364
Turkey,355
Wales,353
Finland,348
India,337
Tanzania,325
Uganda,324
Peru,320
Romania,318
Iran,311
Australia,306
Greece,305
Malawi,304
Jamaica,303
Ivory Coast,301
Republic of Ireland,298
Costa Rica,296
Cyprus,293
Bulgaria,282
Malta,282
Ethiopia,280
Bahrain,276
Ghana,268
Zambia,267
Northern Ireland,265
Oman,265
Senegal,260
Honduras,257
Algeria,254
Jordan,250
Nigeria,244
Luxembourg,244
Israel,243
Cameroon,243
Estonia,239
Russia,235
Paraguay,232
Gabon,231
El Salvador,228
Hong Kong,224
Ecuador,223
Colombia,221
Panama,219
Mali,218
Yugoslavia,217
Guatemala,214
Bolivia,211
Iceland,210
Haiti,207
Iraq,203
Czechoslovakia,195
Congo,188
Venezuela,185
Latvia,184
Libya,183
Albania,183
Zimbabwe,182
Sudan,177
Angola,169
Lebanon,169
Soviet Union,167
Burkina Faso,163
Barbados,162
Lithuania,159
Togo,158
Guernsey,158
Martinique,154
Mozambique,151
Jersey,150
Georgia,150
Fiji,150
Croatia,149
Ukraine,149
Canada,148
Suriname,148
Botswana,148
Vietnam,148
Slovakia,148
Philippines,146
Madagascar,146
Rwanda,145
New Zealand,145
Guinea,145
Czech Republic,143
Liberia,141
Bangladesh,139
Uzbekistan,135
Saint Kitts and Nevis,134
Slovenia,133
North Macedonia,133
Mauritius,132
Gambia,130
Azerbaijan,129
Nepal,129
New Caledonia,129
German DR,129
Sierra Leone,124
Faroe Islands,121
Benin,120
Namibia,119
Grenada,118
Syria,117
Antigua and Barbuda,117
Solomon Islands,115
Equatorial Guinea,114
Swaziland,110
Guyana,108
Bosnia and Herzegovina,108
Liechtenstein,106
Armenia,104
Moldova,103
Mauritania,102
Lesotho,102
Kazakhstan,100
San Marino,100
Guadeloupe,99
Saint Lucia,99
Belarus,98
Bermuda,96
Saint Vincent and the Grenadines,95
Cuba,95
Malaya,95
Vanuatu,92
Cambodia,92
Cape Verde,91
Maldives,90
DR Congo,89
Curaçao,88
Dominican Republic,88
Niger,88
Andorra,85
Sri Lanka,83
Pakistan,78
Réunion,78
Netherlands Antilles,77
French Polynesia,77
Myanmar,76
Montenegro,75
Guinea-Bissau,72
Vietnam Republic,72
Samoa,72
Dominica,71
Serbia,70
Taiwan,70
Puerto Rico,67
Cayman Islands,65
French Guiana,64
Seychelles,63
Papua New Guinea,59
Zaïre,58
Yemen,58
Tajikistan,57
North Korea,56
Aruba,56
Laos,56
Nicaragua,53
Ireland,53
Macau,52
Kyrgyzstan,50
Burundi,49
Gibraltar,48
Guam,44
Brunei,42
Turkmenistan,39
Alderney,38
Chad,37
Belize,37
Central African Republic,37
British Virgin Islands,36
Burma,36
Kosovo,36
Isle of Man,35
Northern Cyprus,35
Anguilla,34
Zanzibar,34
Netherlands Guyana,29
British Guyana,28
Tanganyika,28
Comoros,28
Western Samoa,27
United States Virgin Islands,27
Bahamas,27
Mongolia,25
Djibouti,23
São Tomé and Príncipe,22
Upper Volta,22
Palestine,18
Somalia,17
Bhutan,17
Eritrea,17
Dahomey,16
Tonga,15
Northern Rhodesia,15
Turks and Caicos Islands,14
Montserrat,13
Saint Martin,13
Southern Rhodesia,11
Sint Maarten,11
United Arab Republic,11
Serbia and Montenegro,11
South Sudan,10
Cook Islands,10
Irish Free State,9
Afghanistan,8
Ceylon,8
Saint Barthélemy,7
Tahiti,7
Éire,7
Eswatini,7
Vietnam DR,7
Gold Coast,6
Saarland,6
Rhodesia,6
Northern Mariana Islands,5
Monaco,5
Yemen AR,5
Manchuria,5
East Timor,4
French Somaliland,4
Nyasaland,4
Bohemia,3
Palau,3
Bonaire,3
New Hebrides,3
Yemen DPR,2
Greenland,2
Mayotte,2
Bohemia and Moravia,1
Mali Federation,1
Belgian Congo,1
Portuguese Guinea,1
Micronesia,1
